BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941477145393,DNge041,descending,3,0.12,7.55
720575941595517735,DNg75,descending,5,0.38,7.35
720575941565245794,DNge132,descending,3,0.14,7.14
720575941510621968,DNge063,descending,3,0.14,7.14
720575941461875908,DNpe045,descending,3,0.14,7.14
720575941539028722,DNge038,descending,2,0.08,7.08
720575941476214833,DNge140,descending,2,0.08,7.08
720575941566170422,DNp14,descending,1,0.02,7.0
720575941508518785,AN05B050,ascending,1,0.02,7.0
720575941585137247,ANXXX055,ascending,1,0.02,7.0
720575941555244772,AN09B030,ascending,1,0.02,7.0
720575941549927229,ANXXX043,ascending,1,0.02,7.0
720575941450934350,DNp27,descending,1,0.02,7.0
720575941628153913,DNge140,descending,1,0.02,7.0
720575941631060972,DNg65,descending,1,0.02,7.0
720575941433466126,AN05B069,ascending,1,0.02,7.0
720575941519246296,DNge080,descending,1,0.02,7.0
720575941613418716,DNge125,descending,1,0.02,7.0
720575941534999896,AN09B012,ascending,1,0.02,7.0
720575941596240241,AN18B019,ascending,1,0.02,7.0
720575941721638714,DNb09,descending,1,0.02,7.0
720575941623162108,AN08B022,ascending,1,0.02,7.0
720575941473861728,AN17A014,ascending,1,0.02,7.0
720575941524168011,AN05B081,ascending,1,0.02,7.0
720575941476367937,DNge019,descending,1,0.02,7.0
720575941529139844,DNpe024,descending,1,0.02,7.0
720575941601087478,AN09B031,ascending,1,0.02,7.0
720575941532854501,AN09B021,ascending,1,0.02,7.0
720575941566336822,ANXXX218,ascending,1,0.02,7.0
720575941548225928,AN09B026,ascending,1,0.02,7.0
720575941488845287,DNg44,descending,1,0.02,7.0
720575941516122540,AN08B099,ascending,1,0.02,7.0
720575941568408622,AN08B026,ascending,1,0.02,7.0
720575941626118252,AN08B014,ascending,1,0.02,7.0
720575941595190053,AN09B013,ascending,1,0.02,7.0
720575941414341521,DNpe055,descending,1,0.02,7.0
720575941404711792,DNpe016,descending,1,0.02,7.0
720575941564160402,AN05B069,ascending,1,0.02,7.0
720575941499192905,AN05B005,ascending,5,0.36,6.49
720575941440931157,AN09B030,ascending,2,0.1,6.33
720575941441633883,DNge049,descending,4,0.32,6.33
720575941560435059,DNge133,descending,3,0.18,5.91
720575941612058982,DNge136,descending,2,0.12,5.79
720575941513808849,DNge038,descending,2,0.14,5.36
720575941566180199,DNge018,descending,1,0.04,4.9
720575941506736956,DNp29,descending,1,0.04,4.9
720575941511599314,AN19B017,ascending,1,0.04,4.9
720575941435430542,DNg42,descending,1,0.04,4.9
720575941542610437,DNp23,descending,1,0.04,4.9
720575941527644600,DNg57,descending,1,0.04,4.9
720575941431229615,AN19A018_d,ascending,1,0.04,4.9
720575941504443074,AN05B094,ascending,1,0.04,4.9
720575941569592690,AN08B026,ascending,1,0.04,4.9
720575941625794186,DNae008,descending,1,0.04,4.9
720575941459415878,DNp36,descending,1,0.04,4.9
720575941411472555,DNb09,descending,1,0.04,4.9
720575941480784258,DNp43,descending,1,0.04,4.9
720575941521274551,DNg35,descending,3,0.56,4.56
720575941630997986,ANXXX037,ascending,1,0.06,3.96
720575941480490882,DNge105,descending,1,0.06,3.96
720575941516048121,ANXXX043,ascending,1,0.06,3.96
720575941408568750,AN19B001_b,ascending,1,0.08,3.39
720575941644756168,DNg30,descending,1,0.1,3.0
720575941516280922,AN07B004,ascending,1,0.12,2.71
720575941511270610,DNg39,descending,1,0.14,1.92
720575941521256115,DNg102,descending,1,0.28,1.46
720575941431097737,DNge049,descending,1,0.48,0.86
720575941536140993,DNg102,descending,1,0.48,0.74
720575941474398513,AN08B089,ascending,1,0.0,0.0
720575941643158354,SNxx29,sensory_ascending,1,0.0,0.0
720575941579793909,DNge010,descending,1,0.0,0.0
720575941552229887,AN06A027,ascending,5,0.0,0.0
720575941407465902,SNxx27,sensory_ascending,4,0.0,0.0
720575941482535366,DNg01,descending,1,0.0,0.0
720575941556199652,DNge115,descending,1,0.0,0.0
720575941653538065,AN05B078,ascending,1,0.0,0.0
720575941436259602,DNge017,descending,1,0.0,0.0
720575941573970831,AN07B062,ascending,1,0.0,0.0
720575941587152862,SAabg01,sensory_ascending,2,0.0,0.0
720575941438500370,DNg58,descending,1,0.0,0.0
720575941527078681,AN09B033,ascending,3,0.0,0.0
720575941471906602,SNxx29,sensory_ascending,4,0.0,0.0
720575941450039477,DNg83,descending,2,0.0,0.0
720575941550401086,DNge001,descending,2,0.0,0.0
720575941565008384,SAabg01,sensory_ascending,1,0.0,0.0
720575941564682135,AN05B050,ascending,1,0.0,0.0
720575941609747430,DNge014,descending,1,0.0,0.0
720575941701235930,DNpe017,descending,6,0.0,0.0
720575941558298660,SNxx29,sensory_ascending,6,0.0,0.0
720575941504331607,DNg110,descending,2,0.0,0.0
720575941439550271,AN07B040,ascending,4,0.0,0.0
720575941557512307,DNg12_a,descending,2,0.0,0.0
720575941703350746,AN17B005,ascending,5,0.0,0.0
720575941586451166,ANXXX404,ascending,5,0.0,0.0
720575941612425190,AN09B034,ascending,1,0.0,0.0
720575941507241495,DNge147,descending,1,0.0,0.0
720575941479563650,DNge120,descending,3,0.0,0.0
720575941612278630,AN06B012,ascending,3,0.0,0.0
720575941477736066,DNg92_a,descending,1,0.0,0.0
720575941586648198,ANXXX433,ascending,3,0.0,0.0
720575941568889332,AN17B008,ascending,1,0.0,0.0
720575941429552815,AN05B076,ascending,5,0.0,0.0
720575941477662001,ANXXX202,ascending,7,0.0,0.0
720575941572620446,DNb03,descending,3,0.0,0.0
720575941492360679,AN05B049,ascending,3,0.0,0.0
720575941445707284,DNp28,descending,2,0.0,0.0
720575941568835834,DNx02,sensory_descending,1,0.0,0.0
720575941436313888,DNge105,descending,1,0.0,0.0
720575941595520039,DNpe041,descending,2,0.0,0.0
720575941652113429,ANXXX094,ascending,6,0.0,0.0
720575941639531125,AN17A062,ascending,1,0.0,0.0
720575941505673566,DNg82,descending,1,0.0,0.0
720575941503680087,AN06A027,ascending,5,0.0,0.0
720575941428164233,DNge174,descending,5,0.0,0.0
720575941564189026,AN05B083,ascending,1,0.0,0.0
720575941535167320,DNge134,descending,4,0.0,0.0
720575941561659181,DNx02,sensory_descending,2,0.0,0.0
720575941437425964,AN17B013,ascending,2,0.0,0.0
720575941442861482,DNge113,descending,1,0.0,0.0
720575941645261217,AN09B032,ascending,1,0.0,0.0
720575941436052768,DNg05_b,descending,1,0.0,0.0
720575941653640465,DNge055,descending,1,0.0,0.0
720575941569581170,AN05B053,ascending,2,0.0,0.0
720575941651755797,ANXXX202_b,ascending,8,0.0,0.0
720575941543173405,ANXXX433,ascending,1,0.0,0.0
720575941596596357,DNpe035,descending,3,0.0,0.0
720575941486574598,DNg02_g,descending,1,0.0,0.0
720575941581772153,AN06B011,ascending,1,0.0,0.0
720575941477006388,DNpe012,descending,1,0.0,0.0
720575941486692493,DNp68,descending,12,0.0,0.0
720575941662506040,DNg27,descending,10,0.0,0.0
720575941438655506,DNge036,descending,3,0.0,0.0
720575941467453462,DNge065,descending,5,0.0,0.0
720575941550561341,DNpe052,descending,1,0.0,0.0
720575941574850205,AN08B012,ascending,8,0.0,0.0
720575941537583331,ANXXX169,ascending,1,0.0,0.0
720575941454913075,DNge083,descending,4,0.0,0.0
720575941481337679,DNg77,descending,3,0.0,0.0
720575941585231838,AN09B007,ascending,4,0.0,0.0
720575941497322880,DNp10,descending,5,0.0,0.0
720575941450506830,DNp18,descending,2,0.0,0.0
720575941442418639,DNpe017,descending,3,0.0,0.0
720575941439633983,DNp65,descending,12,0.0,0.0
720575941438690834,DNp51,descending,4,0.0,0.0
720575941427899220,AN10B005,ascending,2,0.0,0.0
720575941401813027,AN17B002,ascending,4,0.0,0.0
720575941595189029,DNp18,descending,5,0.0,0.0
720575941572659870,AN05B102,ascending,3,0.0,0.0
720575941589986359,DNge128,descending,2,0.0,0.0
720575941515972698,DNg99,descending,2,0.0,0.0
720575941548340104,AN01A033,ascending,1,0.0,0.0
720575941409214894,DNp25,descending,5,0.0,0.0
720575941532674435,AN17B002,ascending,5,0.0,0.0
720575941510642192,DNa10,descending,8,0.0,0.0
720575941526946050,DNbe006,descending,5,0.0,0.0
720575941552009727,DNg49,descending,2,0.0,0.0
720575941618366079,DNp31,descending,3,0.0,0.0
720575941516800147,DNge002,descending,4,0.0,0.0
720575941532728195,DNbe001,descending,4,0.0,0.0
720575941566556775,DNpe043,descending,1,0.0,0.0
720575941558535716,AN09B034,ascending,2,0.0,0.0
720575941558704164,DNp12,descending,4,0.0,0.0
720575941502628695,DNp15,descending,4,0.0,0.0
720575941563483816,AN19B019,ascending,2,0.0,0.0
720575941563622759,SAch01,sensory_ascending,2,0.0,0.0
720575941662407992,DNg29,descending,4,0.0,0.0
720575941431071113,AN04B001,ascending,2,0.0,0.0
720575941490799157,DNp58,descending,4,0.0,0.0
720575941407841071,DNp07,descending,3,0.0,0.0
720575941490717390,DNa09,descending,9,0.0,0.0
720575941555160986,SAabg01,sensory_ascending,3,0.0,0.0
720575941414491028,DNge102,descending,1,0.0,0.0
720575941412103535,AN12B089,ascending,2,0.0,0.0
720575941527175524,DNg03,descending,1,0.0,0.0
720575941476632385,DNg01,descending,1,0.0,0.0
720575941438669653,AN12B055,ascending,5,0.0,0.0
720575941554888676,DNge111,descending,1,0.0,0.0
720575941574946299,SAabg01,sensory_ascending,3,0.0,0.0
720575941456504560,DNg03,descending,1,0.0,0.0
720575941428247800,AN12B089,ascending,4,0.0,0.0
720575941733201963,SAabg01,sensory_ascending,1,0.0,0.0
720575941551115775,SAch01,sensory_ascending,1,0.0,0.0
720575941595947456,AN05B063,ascending,2,0.0,0.0
720575941665097203,DNge134,descending,5,0.0,0.0
720575941600878377,DNa05,descending,3,0.0,0.0
720575941563064071,DNg12_b,descending,2,0.0,0.0
720575941492697264,DNp28,descending,3,0.0,0.0
720575941569678450,LN-DN2,sensory_descending,3,0.0,0.0
720575941598492457,DNg05_b,descending,2,0.0,0.0
720575941652493524,DNg12_e,descending,3,0.0,0.0
720575941568305658,AN07B101,ascending,1,0.0,0.0
720575941573370696,DNge019,descending,1,0.0,0.0
720575941565393927,AN18B053,ascending,2,0.0,0.0
720575941516229475,DNp34,descending,3,0.0,0.0
720575941496697216,DNp39,descending,5,0.0,0.0
720575941525796098,SAch01,sensory_ascending,1,0.0,0.0
720575941590752396,AN09B033,ascending,3,0.0,0.0
720575941432046945,DNge121,descending,5,0.0,0.0
720575941658542928,AN05B078,ascending,1,0.0,0.0
720575941532484581,AN01B004,ascending,2,0.0,0.0
720575941507758103,ANXXX202_c,ascending,2,0.0,0.0
720575941517403308,AN03B094,ascending,4,0.0,0.0
720575941594463013,ANXXX041,ascending,10,0.0,0.0
720575941540535069,DNge020,descending,1,0.0,0.0
720575941568199726,DNge011,descending,4,0.0,0.0
720575941644727713,ANXXX006,ascending,1,0.0,0.0
720575941596431749,DNpe004,descending,1,0.0,0.0
720575941392812548,DNp26,descending,6,0.0,0.0
720575941537850600,DNp54,descending,2,0.0,0.0
720575941536037362,SAxx02,sensory_ascending,6,0.0,0.0
720575941392665750,SAxx02,sensory_ascending,5,0.0,0.0
720575941515077699,DNge025,descending,1,0.0,0.0
720575941610938797,AN09B012,ascending,1,0.0,0.0
720575941523099127,DNg05_a,descending,9,0.0,0.0
720575941521111223,DNx02,sensory_descending,2,0.0,0.0
720575941547229620,ANXXX170,ascending,2,0.0,0.0
720575941640775455,DNp101,descending,2,0.0,0.0
720575941456506015,DNg23,descending,1,0.0,0.0
720575941578679897,DNpe040,descending,2,0.0,0.0
720575941491410382,ANXXX144,ascending,3,0.0,0.0
720575941487419856,AN09B019,ascending,5,0.0,0.0
720575941471139191,DNpe028,descending,1,0.0,0.0
720575941573992776,AN12B008,ascending,1,0.0,0.0
720575941483679674,DNge076,descending,8,0.0,0.0
720575941450205109,ANXXX136,ascending,5,0.0,0.0
720575941586609886,DNg63,descending,1,0.0,0.0
720575941483850749,AN05B021,ascending,1,0.0,0.0
720575941552603966,DNp19,descending,1,0.0,0.0
720575941507870242,AN09A005,ascending,2,0.0,0.0
720575941560998003,AN27X017,ascending,8,0.0,0.0
720575941486776642,AN00A006,ascending,1,0.0,0.0
720575941411212715,DNg32,descending,1,0.0,0.0
720575941687586316,ANXXX041,ascending,8,0.0,0.0
720575941437379090,AN05B105,ascending,6,0.0,0.0
720575941560503155,DNp73,descending,4,0.0,0.0
720575941494960254,DNg79,descending,3,0.0,0.0
720575941569583474,ANXXX049,ascending,3,0.0,0.0
720575941611823078,ANXXX144,ascending,4,0.0,0.0
720575941590774924,ANXXX127,ascending,2,0.0,0.0
720575941618655615,DNpe003,descending,5,0.0,0.0
720575941495055486,DNpe001,descending,2,0.0,0.0
720575941491126222,DNg33,descending,5,0.0,0.0
720575941477534516,AN17B012,ascending,2,0.0,0.0
720575941668481779,ANXXX074,ascending,1,0.0,0.0
720575941614309395,AN06B042,ascending,1,0.0,0.0
720575941527544708,ANXXX027,ascending,7,0.0,0.0
720575941440399445,AN05B099,ascending,1,0.0,0.0
720575941539325333,DNge022,descending,7,0.0,0.0
720575941703160026,AN09B019,ascending,2,0.0,0.0
720575941551774526,DNpe023,descending,1,0.0,0.0
720575941552590910,AN01B005,ascending,5,0.0,0.0
720575941611833577,DNge051,descending,1,0.0,0.0
720575941633591483,AN27X004,ascending,2,0.0,0.0
720575941556990735,DNge146,descending,3,0.0,0.0
720575941569814130,AN06B034,ascending,5,0.0,0.0
720575941478980291,ANXXX131,ascending,9,0.0,0.0
720575941631976864,AN08B018,ascending,1,0.0,0.0
720575941572171166,AN09A005,ascending,3,0.0,0.0
720575941545312005,DNp22,descending,3,0.0,0.0
720575941483701178,DNp67,descending,1,0.0,0.0
720575941471808375,DNge107,descending,2,0.0,0.0
720575941461518035,AN09B027,ascending,1,0.0,0.0
720575941557413284,DNge030,descending,1,0.0,0.0
720575941574748681,AN08B009,ascending,2,0.0,0.0
720575941534222770,DNp15,descending,2,0.0,0.0
720575941481470883,AN27X017,ascending,5,0.0,0.0
720575941526661890,AN09B019,ascending,6,0.0,0.0
720575941563466152,AN27X009,ascending,4,0.0,0.0
720575941580602869,AN12B017,ascending,1,0.0,0.0
720575941486575426,DNge082,descending,2,0.0,0.0
720575941480587394,DNge013,descending,6,0.0,0.0
720575941596627569,AN07B018,ascending,2,0.0,0.0
720575941507243845,ANXXX170,ascending,4,0.0,0.0
720575941414947220,DNpe031,descending,3,0.0,0.0
720575941508492417,DNg71,descending,1,0.0,0.0
720575941652643313,AN06B025,ascending,8,0.0,0.0
720575941467350237,DNg79,descending,2,0.0,0.0
720575941439161567,AN08B034,ascending,1,0.0,0.0
720575941482323651,AN19B024,ascending,1,0.0,0.0
720575941572464798,DNge172,descending,3,0.0,0.0
720575941467587606,DNpe032,descending,3,0.0,0.0
720575941571547912,AN06B034,ascending,5,0.0,0.0
720575941500465547,AN17B009,ascending,1,0.0,0.0
720575941658841112,DNpe006,descending,5,0.0,0.0
720575941558607396,DNp03,descending,5,0.0,0.0
720575941574549768,AN03B011,ascending,3,0.0,0.0
720575941499772066,AN01A006,ascending,2,0.0,0.0
720575941525364994,AN05B096,ascending,1,0.0,0.0
720575941502715019,DNg24,descending,2,0.0,0.0
720575941583368543,AN14A003,ascending,2,0.0,0.0
720575941486700098,DNa05,descending,8,0.0,0.0
720575941463704077,AN07B046,ascending,1,0.0,0.0
720575941580098037,ANXXX092,ascending,2,0.0,0.0
720575941539809997,DNp03,descending,7,0.0,0.0
720575941586627294,AN10B015_a,ascending,5,0.0,0.0
720575941439786719,DNge075,descending,3,0.0,0.0
720575941625952923,AN06B025,ascending,5,0.0,0.0
720575941536706753,DNg80,descending,9,0.0,0.0
720575941507894366,DNg69,descending,1,0.0,0.0
720575941552013055,AN09B009,ascending,4,0.0,0.0
720575941438445330,DNpe032,descending,1,0.0,0.0
720575941352944432,AN17B007,ascending,3,0.0,0.0
720575941667252211,ANXXX151,ascending,3,0.0,0.0
720575941494975102,AN17B008,ascending,1,0.0,0.0
720575941703384026,DNpe001,descending,2,0.0,0.0
720575941545489413,AN27X017,ascending,3,0.0,0.0
720575941464369421,ANXXX174,ascending,1,0.0,0.0
720575941733215019,DNpe013,descending,1,0.0,0.0
720575941611418442,AN05B102,ascending,2,0.0,0.0
720575941441901759,ANXXX075,ascending,3,0.0,0.0
720575941578509401,AN01B002,ascending,10,0.0,0.0
720575941537991907,AN27X009,ascending,4,0.0,0.0
720575941523106295,DNg14,descending,3,0.0,0.0
720575941566309174,DNp26,descending,6,0.0,0.0
720575941594823537,DNp05,descending,1,0.0,0.0
720575941641465682,AN17B008,ascending,1,0.0,0.0
720575941454969395,DNg56,descending,1,0.0,0.0
720575941504810290,DNg90,descending,3,0.0,0.0
720575941431357359,AN19B014,ascending,1,0.0,0.0
720575941632059372,DNge006,descending,4,0.0,0.0
720575941576343222,AN09B011,ascending,1,0.0,0.0
720575941605523902,DNp44,descending,1,0.0,0.0
720575941504621506,ANXXX099,ascending,2,0.0,0.0
720575941550649599,AN06B037,ascending,1,0.0,0.0
720575941531454923,AN17A015,ascending,1,0.0,0.0
720575941556338916,AN19B024,ascending,1,0.0,0.0
720575941496919168,DNp57,descending,8,0.0,0.0
720575941592925992,DNg69,descending,1,0.0,0.0
720575941451958343,AN09B009,ascending,3,0.0,0.0
720575941515152195,DNpe006,descending,4,0.0,0.0
720575941453086535,AN05B097,ascending,2,0.0,0.0
720575941476737566,AN09B031,ascending,1,0.0,0.0
720575941589746756,AN27X017,ascending,1,0.0,0.0
720575941641209119,AN09B037,ascending,3,0.0,0.0
720575941491584743,ANXXX200,ascending,2,0.0,0.0
720575941562512018,AN09B033,ascending,3,0.0,0.0
720575941524210763,DNg47,descending,1,0.0,0.0
720575941447921940,AN06B015_b,ascending,4,0.0,0.0
720575941450220637,AN17A062,ascending,3,0.0,0.0
720575941451871559,AN14B012,ascending,2,0.0,0.0
720575941481103523,DNpe019,descending,5,0.0,0.0
720575941655664596,AN17B013,ascending,1,0.0,0.0
720575941507079703,DNge064,descending,1,0.0,0.0
720575941605509054,AN27X017,ascending,5,0.0,0.0
720575941521340087,DNp51,descending,3,0.0,0.0
720575941626447754,AN05B044,ascending,1,0.0,0.0
720575941585234910,AN19B044,ascending,3,0.0,0.0
720575941515074883,DNp39,descending,6,0.0,0.0
720575941620053375,AN17B008,ascending,3,0.0,0.0
720575941478195265,DNg42,descending,1,0.0,0.0
720575941477099313,DNge076,descending,8,0.0,0.0
720575941543092060,DNp14,descending,1,0.0,0.0
720575941477889310,AN12B019,ascending,1,0.0,0.0
720575941573499464,AN08B049,ascending,1,0.0,0.0
720575941535975617,ANXXX049,ascending,5,0.0,0.0
720575941555674340,DNg41,descending,3,0.0,0.0
720575941567010930,AN04B051,ascending,1,0.0,0.0
720575941411620207,DNg33,descending,5,0.0,0.0
720575941612321382,DNa07,descending,1,0.0,0.0
720575941519866840,DNg76,descending,4,0.0,0.0
720575941507049239,DNge096,descending,2,0.0,0.0
720575941495736448,AN17B013,ascending,1,0.0,0.0
720575941515746051,DNge044,descending,4,0.0,0.0
720575941565351943,ANXXX169,ascending,1,0.0,0.0
720575941448026388,AN17B016,ascending,1,0.0,0.0
720575941613469916,AN06B015_b,ascending,4,0.0,0.0
720575941680648893,DNge019,descending,3,0.0,0.0
720575941575525992,DNge068,descending,5,0.0,0.0
720575941624214780,AN05B068,ascending,1,0.0,0.0
720575941435997984,DNge034,descending,2,0.0,0.0
720575941549506932,DNb03,descending,4,0.0,0.0
720575941514057283,AN09B033,ascending,1,0.0,0.0
720575941474665514,DNg106,descending,1,0.0,0.0
720575941610664621,AN09B033,ascending,1,0.0,0.0
720575941477298996,DNge144,descending,3,0.0,0.0
720575941653259025,ANXXX296,ascending,4,0.0,0.0
720575941515951459,AN27X009,ascending,5,0.0,0.0
720575941582077049,ANXXX202_b,ascending,7,0.0,0.0
720575941572407710,DNge005,descending,7,0.0,0.0
720575941565091847,DNge147,descending,2,0.0,0.0
720575941573054646,AN26X004,ascending,1,0.0,0.0
720575941481351843,AN27X013,ascending,1,0.0,0.0
720575941507181079,AN17A062,ascending,2,0.0,0.0
720575941626282634,DNge034,descending,1,0.0,0.0
720575941484195514,DNp24,descending,3,0.0,0.0
720575941560266152,AN19B044,ascending,2,0.0,0.0
720575941498832763,AN19B022,ascending,1,0.0,0.0
720575941657721624,AN09B033,ascending,3,0.0,0.0
720575941657558296,AN14B012,ascending,3,0.0,0.0
720575941438773548,DNae003,descending,4,0.0,0.0
720575941650178289,DNg45,descending,2,0.0,0.0
720575941611963309,AN05B063,ascending,4,0.0,0.0
720575941507062807,DNg19,descending,5,0.0,0.0
720575941472609632,AN07B035,ascending,1,0.0,0.0
720575941471454583,DNg38,descending,1,0.0,0.0
720575941566744935,AN08B032,ascending,3,0.0,0.0
720575941408508078,DNp08,descending,1,0.0,0.0
720575941433061646,AN08B032,ascending,1,0.0,0.0
720575941569105658,DNge039,descending,6,0.0,0.0
720575941461234131,AN08B022,ascending,1,0.0,0.0
720575941408856879,AN01B002,ascending,6,0.0,0.0
720575941548169608,DNpe019,descending,5,0.0,0.0
720575941568499502,DNp55,descending,2,0.0,0.0
720575941537701347,AN09B030,ascending,2,0.0,0.0
720575941574724361,DNg23,descending,1,0.0,0.0
720575941540592509,AN09B019,ascending,4,0.0,0.0
720575941430142089,AN09A005,ascending,1,0.0,0.0
720575941632167611,DNg73,descending,1,0.0,0.0
720575941514358675,DNg51,descending,2,0.0,0.0
720575941518404974,DNpe039,descending,2,0.0,0.0
720575941450620494,AN02A016,ascending,3,0.0,0.0
720575941504687810,DNpe037,descending,1,0.0,0.0
720575941479889315,AN06B039,ascending,2,0.0,0.0
720575941450811470,AN09B037,ascending,4,0.0,0.0
720575941452032122,AN23B010,ascending,6,0.0,0.0
720575941562217517,DNp24,descending,2,0.0,0.0
720575941452945735,AN09B028,ascending,4,0.0,0.0
720575941521188791,DNpe052,descending,1,0.0,0.0
720575941504703938,DNb02,descending,4,0.0,0.0
720575941431211951,DNg29,descending,2,0.0,0.0
720575941612195501,DNg17,descending,3,0.0,0.0
720575941466022422,AN18B019,ascending,1,0.0,0.0
720575941471698752,AN19B028,ascending,1,0.0,0.0
720575941669801905,DNg54,descending,2,0.0,0.0
720575941565392482,DNge174,descending,3,0.0,0.0
720575941495998843,DNg41,descending,3,0.0,0.0
720575941444962474,ANXXX132,ascending,3,0.0,0.0
720575941564504832,DNge077,descending,2,0.0,0.0
720575941545915836,ANXXX255,ascending,2,0.0,0.0
720575941526954498,DNge030,descending,2,0.0,0.0
720575941440937301,AN09B018_b,ascending,4,0.0,0.0
720575941432255959,DNge052,descending,1,0.0,0.0
720575941460258515,AN05B049,ascending,2,0.0,0.0
720575941474677825,DNg89,descending,2,0.0,0.0
720575941530152907,DNx01,sensory_descending,3,0.0,0.0
720575941540968397,AN09B018_a,ascending,1,0.0,0.0
720575941629872422,DNae004,descending,5,0.0,0.0
720575941547452084,DNp49,descending,5,0.0,0.0
720575941531484619,ANXXX136,ascending,6,0.0,0.0
720575941554701722,DNge022,descending,9,0.0,0.0
720575941520363511,AN04B051,ascending,2,0.0,0.0
720575941474552372,AN09B037,ascending,2,0.0,0.0
720575941505242789,DNg52,descending,2,0.0,0.0
720575941554109668,DNg51,descending,3,0.0,0.0
720575941431747086,DNg73,descending,3,0.0,0.0
720575941436052000,ANXXX086,ascending,2,0.0,0.0
720575941506304828,AN12B017,ascending,1,0.0,0.0
720575941469810141,ANXXX145,ascending,2,0.0,0.0
720575941480797859,DNge005,descending,5,0.0,0.0
720575941624572042,DNg61,descending,2,0.0,0.0
720575941558807411,DNge039,descending,6,0.0,0.0
720575941536519194,AN02A016,ascending,1,0.0,0.0
720575941722633786,AN08B034,ascending,2,0.0,0.0
