BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941586455774,ANXXX033,ascending,5,0.02,35.57
720575941624461564,AN08B027,ascending,5,0.02,35.57
720575941681075389,ANXXX026,ascending,5,0.02,35.57
720575941537703144,DNg04,descending,5,0.02,35.57
720575941519656814,DNde002,descending,5,0.02,35.57
720575941655534804,AN07B024,ascending,5,0.02,35.57
720575941576254134,DNge080,descending,5,0.02,35.57
720575941617642965,AN18B023,ascending,5,0.02,35.57
720575941480714626,AN12A003,ascending,5,0.02,35.57
720575941470195723,DNae008,descending,5,0.02,35.57
720575941595295783,AN01B005,ascending,5,0.02,35.57
720575941576562792,DNge075,descending,5,0.02,35.57
720575941568870770,DNa10,descending,5,0.02,35.57
720575941555321601,ANXXX102,ascending,5,0.02,35.57
720575941415707420,DNg24,descending,5,0.02,35.57
720575941504921906,DNp47,descending,5,0.02,35.57
720575941612667238,AN05B098,ascending,5,0.02,35.57
720575941668463347,AN05B102,ascending,5,0.02,35.57
720575941438465298,DNb04,descending,5,0.02,35.57
720575941540215501,DNp01,descending,7,0.04,35.52
720575941476477492,DNae010,descending,7,0.04,35.52
720575941536048321,DNge078,descending,7,0.04,35.52
720575941448093972,AN12A003,ascending,7,0.04,35.52
720575941526946562,DNa11,descending,19,0.28,35.28
720575941546668988,DNpe053,descending,19,0.3,34.73
720575941542749788,AN08B012,ascending,12,0.14,34.18
720575941525186818,DNge143,descending,12,0.14,34.18
720575941628636217,ANXXX027,ascending,11,0.12,33.48
720575941613532892,DNpe030,descending,11,0.12,33.48
720575941477915700,DNp48,descending,11,0.12,33.48
720575941507249221,DNg109,descending,8,0.06,33.43
720575941564715264,ANXXX139,ascending,8,0.06,33.43
720575941644554184,DNge065,descending,8,0.06,33.43
720575941560268270,AN05B101_b,ascending,14,0.16,33.14
720575941531488971,DNbe003,descending,10,0.1,33.0
720575941486437954,DNg108,descending,10,0.1,33.0
720575941563218944,DNae010,descending,9,0.08,32.88
720575941578601049,AN05B097,ascending,9,0.08,32.88
720575941539226866,DNp63,descending,9,0.08,32.88
720575941554952858,DNge053,descending,19,0.4,32.88
720575941652728049,DNg74_a,descending,23,0.62,32.45
720575941541271325,DNg78,descending,11,0.08,32.4
720575941439563583,DNge053,descending,19,0.32,32.15
720575941496695751,DNg22,descending,15,0.16,32.05
720575941653831185,DNae005,descending,14,0.18,31.91
720575941652085745,DNae007,descending,11,0.14,31.3
720575941411441323,DNae009,descending,11,0.14,31.3
720575941595590951,DNae005,descending,11,0.14,31.3
720575941525922148,AN17A012,ascending,11,0.14,31.3
720575941537710824,DNg98,descending,26,0.9,31.13
720575941633138629,AN05B099,ascending,12,0.18,30.77
720575941472329568,ANXXX308,ascending,6,0.04,30.41
720575941561655341,DNae001,descending,6,0.04,30.41
720575941558331684,AN05B100,ascending,6,0.04,30.41
720575941453830637,DNge123,descending,6,0.04,30.41
720575941662302844,ANXXX108,ascending,6,0.04,30.41
720575941611791590,DNp06,descending,6,0.04,30.41
720575941539085973,ANXXX178,ascending,6,0.04,30.41
720575941533704067,DNp31,descending,6,0.04,30.41
720575941450261341,ANXXX027,ascending,10,0.12,30.4
720575941453030983,DNbe004,descending,10,0.12,30.4
720575941551991295,DNg16,descending,24,0.64,30.4
720575941496676295,DNa06,descending,11,0.1,30.23
720575941542676572,DNg85,descending,9,0.1,29.67
720575941449745333,ANXXX027,ascending,13,0.18,29.6
720575941527018009,ANXXX013,ascending,13,0.18,29.6
720575941507205143,DNpe030,descending,12,0.2,29.5
720575941413642268,DNg78,descending,10,0.08,29.43
720575941657989712,DNge003,descending,8,0.08,29.19
720575941408577327,DNg62,descending,8,0.08,29.19
720575941553999387,ANXXX027,ascending,8,0.08,29.19
720575941499022049,AN17A002,ascending,9,0.06,28.79
720575941551640711,ANXXX049,ascending,4,0.02,28.43
720575941564155282,AN13B002,ascending,4,0.02,28.43
720575941470004445,DNge027,descending,4,0.02,28.43
720575941440001343,AN06B002,ascending,4,0.02,28.43
720575941416724764,AN05B097,ascending,4,0.02,28.43
720575941733034283,DNp19,descending,4,0.02,28.43
720575941408820271,AN09B004,ascending,4,0.02,28.43
720575941515512931,AN09B004,ascending,4,0.02,28.43
720575941633589179,AN06B002,ascending,4,0.02,28.43
720575941596602048,DNae006,descending,4,0.02,28.43
720575941435983136,AN09B012,ascending,4,0.02,28.43
720575941504723906,AN05B017,ascending,4,0.02,28.43
720575941508375390,DNpe005,descending,4,0.02,28.43
720575941576782774,SAabg01,sensory_ascending,4,0.02,28.43
720575941552142727,DNa03,descending,4,0.02,28.43
720575941732586539,DNg05_a,descending,4,0.02,28.43
720575941561762605,ANXXX043,ascending,4,0.02,28.43
720575941552907838,DNp45,descending,4,0.02,28.43
720575941466964566,DNg64,descending,4,0.02,28.43
720575941548170120,DNde007,descending,4,0.02,28.43
720575941455714541,DNb02,descending,4,0.02,28.43
720575941645117304,DNge052,descending,4,0.02,28.43
720575941449384885,DNge150,descending,12,0.18,27.29
720575941519464046,DNg97,descending,19,0.62,26.65
720575941626500746,DNg100,descending,28,1.12,26.54
720575941560024847,AN05B006,ascending,23,0.64,26.53
720575941456897005,DNa02,descending,8,0.1,26.33
720575941604155638,AN02A001,ascending,18,0.44,26.28
720575941633028549,AN02A001,ascending,14,0.36,26.23
720575941504652482,DNae009,descending,9,0.14,25.53
720575941491127246,AN09B003,ascending,7,0.08,25.51
720575941432269271,DNg101,descending,7,0.08,25.51
720575941518509495,DNge054,descending,7,0.08,25.51
720575941443480234,ANXXX131,ascending,7,0.08,25.51
720575941572713886,DNg97,descending,19,0.56,25.42
720575941441615963,DNpe007,descending,5,0.04,25.31
720575941585920646,AN19A018_d,ascending,5,0.04,25.31
720575941632241900,AN09B004,ascending,5,0.04,25.31
720575941452429690,AN27X009,ascending,5,0.04,25.31
720575941514064716,DNd05,descending,5,0.04,25.31
720575941461833924,AN17A050,ascending,5,0.04,25.31
720575941440543323,AN27X016,ascending,5,0.04,25.31
720575941472160011,DNp73,descending,5,0.04,25.31
720575941547246260,ANXXX046,ascending,5,0.04,25.31
720575941479543776,DNge023,descending,5,0.04,25.31
720575941669726129,DNg85,descending,5,0.04,25.31
720575941447884820,DNge013,descending,5,0.04,25.31
720575941574675869,DNb07,descending,5,0.04,25.31
720575941458803952,AN05B006,ascending,20,0.66,25.3
720575941459097503,DNp01,descending,6,0.06,25.01
720575941535258802,DNpe026,descending,6,0.06,25.01
720575941452211834,DNge127,descending,6,0.06,25.01
720575941504328791,DNpe005,descending,6,0.06,25.01
720575941663484028,AN01B005,ascending,6,0.06,25.01
720575941534129330,DNx01,sensory_descending,6,0.06,25.01
720575941539264242,DNd04,descending,6,0.06,25.01
720575941557473572,DNde006,descending,11,0.18,24.98
720575941652579093,DNge149,descending,10,0.2,24.5
720575941552163583,DNpe022,descending,8,0.12,24.25
720575941654998233,AN05B009,ascending,8,0.12,24.25
720575941536580634,DNge129,descending,13,0.28,23.97
720575941561376813,DNde006,descending,12,0.28,23.84
720575941596085105,ANXXX005,ascending,12,0.28,23.84
720575941658910488,DNge026,descending,10,0.16,23.56
720575941474101344,AN02A002,ascending,51,5.72,23.35
720575941491992807,DNg100,descending,25,0.98,23.33
720575941478705770,DNpe056,descending,9,0.12,23.27
720575941535140362,DNg15,descending,9,0.12,23.27
720575941535245034,DNbe004,descending,9,0.12,23.27
720575941723386170,ANXXX102,ascending,7,0.1,23.0
720575941561776173,DNge129,descending,14,0.4,22.67
720575941702564314,AN09B003,ascending,8,0.14,22.65
